SourceFile,Aperture,AudioBitsPerSample,AudioChannels,AudioFormat,AudioSampleRate,AvgBitrate,Balance,BitDepth,BitsPerSample,ColorComponents,ColorSpace,CompatibleBrands,CompressorID,Copyright,CreateDate,CurrentTime,DateTimeOriginal,Directory,Duration,EncodingProcess,ExifByteOrder,ExifImageHeight,ExifImageWidth,ExifToolVersion,ExifVersion,ExposureProgram,ExposureTime,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Flash,FNumber,GraphicsMode,HandlerDescription,HandlerType,ImageHeight,ImageSize,ImageWidth,ISO,LightValue,MajorBrand,Make,MatrixStructure,MediaCreateDate,MediaDuration,MediaHeaderVersion,MediaLanguageCode,MediaModifyDate,MediaTimeScale,Megapixels,MeteringMode,MIMEType,MinorVersion,Model,ModifyDate,MovieDataOffset,MovieDataSize,MovieHeaderVersion,NextTrackID,OpColor,Orientation,PixelAspectRatio,PosterTime,PreferredRate,PreferredVolume,PreviewDuration,PreviewTime,ResolutionUnit,Rotation,SelectionDuration,SelectionTime,ShutterSpeed,Software,SourceImageHeight,SourceImageWidth,TimeScale,TrackCreateDate,TrackDuration,TrackHeaderVersion,TrackID,TrackLayer,TrackModifyDate,TrackVolume,VideoFrameRate,Warning,WhiteBalance,XResolution,YCbCrPositioning,YCbCrSubSampling,YResolution
/Volumes/EconomoU/OKEON/camera_trap/C019Tamagusuku/2017/01/09/I__00001.JPG,2.7,,,,,,,,8,3,sRGB,,,"Copyright Cuddeback, 2017",2017:01:09 12:12:05,,2017:01:09 12:12:05,/Volumes/EconomoU/OKEON/camera_trap/C019Tamagusuku/2017/01/09,,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",1984,2576,10.36,221,Program AE,1/250,2017:01:20 10:58:48+09:00,2017:01:20 10:58:48+09:00,2017:01:09 12:12:04+09:00,I__00001.JPG,rwxrwxrwx,690 kB,JPEG,jpg,Fired,2.7,,,,1984,2576x1984,2576,2500,6.2,,CUDDEBACK,,,,,,,,5.1,Multi-segment,image/jpeg,,E2,2017:01:09 12:12:05,,,,,,Horizontal (normal),,,,,,,inches,,,,1/250,1200 FW 2.11.0,,,,,,,,,,,,Invalid EXIF text encoding for UserComment,Auto,72,Co-sited,YCbCr4:2:2 (2 1),72
/Volumes/EconomoU/OKEON/camera_trap/C019Tamagusuku/2017/01/09/I__00002.JPG,2.7,,,,,,,,8,3,sRGB,,,"Copyright Cuddeback, 2017",2017:01:13 11:53:33,,2017:01:13 11:53:33,/Volumes/EconomoU/OKEON/camera_trap/C019Tamagusuku/2017/01/09,,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",1984,2576,10.36,221,Program AE,20-Jan,2017:01:20 10:58:48+09:00,2017:01:20 10:58:48+09:00,2017:01:13 11:53:32+09:00,I__00002.JPG,rwxrwxrwx,564 kB,JPEG,jpg,Fired,2.7,,,,1984,2576x1984,2576,3200,2.2,,CUDDEBACK,,,,,,,,5.1,Multi-segment,image/jpeg,,E2,2017:01:13 11:53:33,,,,,,Horizontal (normal),,,,,,,inches,,,,20-Jan,1200 FW 2.11.0,,,,,,,,,,,,Invalid EXIF text encoding for UserComment,Auto,72,Co-sited,YCbCr4:2:2 (2 1),72
/Volumes/EconomoU/OKEON/camera_trap/C019Tamagusuku/2017/01/09/V__00000.M4V,,16,1,mp4a,16000,1.54 Mbps,0,24,,,,"isom, M4A , M4V , mp42",mp4v,,2015:05:21 15:29:12,0 s,,/Volumes/EconomoU/OKEON/camera_trap/C019Tamagusuku/2017/01/09,0:00:30,,,,,10.36,,,,2017:01:20 10:58:48+09:00,2017:01:20 10:58:48+09:00,2017:01:09 12:12:04+09:00,V__00000.M4V,rwxrwxrwx,5.5 MB,M4V,m4v,,,srcCopy,"16kHz,30s",Audio Track,720,1280x720,1280,,,Apple iTunes Video (.M4V) Video,,1 0 0 0 1 0 0 0 1,2015:05:21 15:29:12,29.95 s,0,und,2015:05:21 15:29:12,16000,0.922,,video/x-m4v,0.0.1,,2015:05:21 15:29:12,4602,5757412,0,3,0 0 0,,1:01,0 s,1,100.00%,0 s,0 s,,0,0 s,0 s,,,720,1280,600,2015:05:21 15:29:12,0:00:30,0,1,0,2015:05:21 15:29:12,0.00%,8,,,72,,,72
